ID;Код марки ТС;Наименование марки ТС;Код модели ТС;Наименование модели ТС;Синоним наименования модели
2;asia;АЗИЯ;asia.combi;COMBI;COMBI
2;asia;АЗИЯ;asia.combi;COMBI;КОМБИ
3;acura;АКУРА;acura.mdx;MDX;MDX
4;alfa_romeo;АЛЬФА РОМЕО;alfa_romeo.giulia;GIULIA;GIULIA
4;alfa_romeo;АЛЬФА РОМЕО;alfa_romeo.giulia;GIULIA;ДЖУЛИЯ
5;audi;АУДИ;audi.80;80;80
5;audi;АУДИ;audi.80;80;АУДИ80
5;audi;АУДИ;audi.80;80;AUDI80
6;audi;АУДИ;audi.100;100;100
6;audi;АУДИ;audi.100;100;АУДИ100
6;audi;АУДИ;audi.100;100;AUDI100
7;audi;АУДИ;audi.a1;A1;A1
8;audi;АУДИ;audi.a3;A3;A3
9;audi;АУДИ;audi.a4;A4;A4
9;audi;АУДИ;audi.a4;A4;A4AVANT
9;audi;АУДИ;audi.a4;A4;A4AVANT20TDI
10;audi;АУДИ;audi.a5;A5;A5
11;audi;АУДИ;audi.a6;A6;A6
11;audi;АУДИ;audi.a6;A6;A628
12;audi;АУДИ;audi.a7;A7;A7
13;audi;АУДИ;audi.a8;A8;A8
13;audi;АУДИ;audi.a8;A8;A8L
13;audi;АУДИ;audi.a8;A8;А8Л
14;audi;АУДИ;audi.q3;Q3;Q3
14;audi;АУДИ;audi.q3;Q3;RSQ3
15;audi;АУДИ;audi.q5;Q5;Q5
16;audi;АУДИ;audi.q7;Q7;Q7
16;audi;АУДИ;audi.q7;Q7;Q730TDI
17;audi;АУДИ;audi.q8;Q8;Q8
18;baw;БАВ;baw.fenix;FENIX;FENIX
19;baz;БАЗ;baz.baz_a079;БАЗ А079;БАЗА079
20;baic;БАЙК;baic.u5_plus;U5 PLUS;U5PLUS
21;belgee;БЕЛДЖИ;belgee.x50;X50;X50
21;belgee;БЕЛДЖИ;belgee.x50;X50;X50DA41KE5
22;belgee;БЕЛДЖИ;belgee.x70;X70;X70
23;bentley;БЕНТЛИ;bentley.bentayga;BENTAYGA;BENTAYGA
23;bentley;БЕНТЛИ;bentley.bentayga;BENTAYGA;БЕНТАЙГА
24;bentley;БЕНТЛИ;bentley.continental_gt;CONTINENTAL GT;CONTINENTALGT
24;bentley;БЕНТЛИ;bentley.continental_gt;CONTINENTAL GT;КОНТИНЕНТАЛЬГТ
24;bentley;БЕНТЛИ;bentley.continental_gt;CONTINENTAL GT;КОНТИНЕНТАЛЬGТ
24;bentley;БЕНТЛИ;bentley.continental_gt;CONTINENTAL GT;КОНТИНЕНТАЛЬGТV8
25;byd;БИД;byd.f3;F3;F3
25;byd;БИД;byd.f3;F3;QCJ7160A2F3
26;bmw;БМВ;bmw.1_series;1 SERIES;1SERIES
26;bmw;БМВ;bmw.1_series;1 SERIES;116I
26;bmw;БМВ;bmw.1_series;1 SERIES;118I
26;bmw;БМВ;bmw.1_series;1 SERIES;120D
26;bmw;БМВ;bmw.1_series;1 SERIES;135I
27;bmw;БМВ;bmw.2_series;2 SERIES;2SERIES
28;bmw;БМВ;bmw.4_series;4 SERIES;4SERIES
29;bmw;БМВ;bmw.5_series;5 SERIES;5SERIES
29;bmw;БМВ;bmw.5_series;5 SERIES;520
29;bmw;БМВ;bmw.5_series;5 SERIES;520D
29;bmw;БМВ;bmw.5_series;5 SERIES;520DXDRIVE
29;bmw;БМВ;bmw.5_series;5 SERIES;520DВМW520D
29;bmw;БМВ;bmw.5_series;5 SERIES;520I
